class,text_file_name,author,word_count,ttr,hapax_ratio,zipf_alpha,zipf_mape,avg_parse_depth,adj_noun_ratio,noun_verb_ratio,adverb_verb_ratio,em_dash_freq,semicolon_freq,colon_freq,exclamation_freq,double_quote_freq,flesch_kincaid_grade
Class 3: AI-mimicry,TWAIN_The-Innocents-Abroad-—-Volume-04_T04_02.txt,Mark Twain,183,,0.84251968503937,2.5232167841521567,26.340047824333766,7.142857142857143,0.3404255319148936,2.473684210526316,0.15789473684210525,2.0080321285140563,1.0040160642570282,0.0,0.0,0.0,12.250941558441557
Class 3: AI-mimicry,"TWAIN_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25_T01_02.txt",Mark Twain,173,,0.8211382113821138,2.6608544947752852,5.418155327579028,8.142857142857142,0.28205128205128205,1.3448275862068966,0.3448275862068966,1.0869565217391304,0.0,0.0,0.0,0.0,9.995000000000001
Class 3: AI-mimicry,TWAIN_The-Prince-and-the-Pauper_T03_02.txt,Mark Twain,162,,0.8288288288288288,2.449491085739198,9.071977542520925,9.4,0.5357142857142857,0.9655172413793104,0.2413793103448276,1.1806375442739079,1.1806375442739079,0.0,0.0,0.0,13.536344370860927
Class 3: AI-mimicry,TWAIN_The-Tragedy-of-Pudd'nhead-Wilson_T02_02.txt,Mark Twain,193,,0.8538461538461538,2.544139155668029,23.279700952963573,8.0,0.40540540540540543,1.2758620689655173,0.3793103448275862,1.0050251256281406,1.0050251256281406,0.0,0.0,0.0,13.40421052631579
Class 3: AI-mimicry,"TWAIN_The-Prince-and-the-Pauper,-Part-4._T04_02.txt",Mark Twain,172,,0.8455284552845529,2.589775087844213,19.28416320642283,7.5,0.4473684210526316,1.9,0.3,2.229654403567447,1.1148272017837235,0.0,0.0,0.0,11.69308641975309
Class 3: AI-mimicry,"TWAIN_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25_T03_01.txt",Mark Twain,185,,0.8050847457627118,2.506005091590368,14.319600632226393,7.4,0.4523809523809524,2.210526315789474,0.47368421052631576,2.094240837696335,0.0,0.0,0.0,0.0,14.29595454545455
Class 3: AI-mimicry,"TWAIN_The-Prince-and-the-Pauper,-Part-4._T04_01.txt",Mark Twain,180,,0.8292682926829268,2.508239731097813,12.733827739415252,7.666666666666667,0.28205128205128205,1.3,0.23333333333333334,2.1390374331550803,0.0,0.0,0.0,0.0,11.41106936416185
Class 3: AI-mimicry,"TWAIN_Sketches-New-and-Old,-Part-7._T02_01.txt",Mark Twain,176,,0.8512396694214877,2.6257277166028805,22.634532222704042,9.4,0.375,2.3529411764705883,0.47058823529411764,1.0741138560687433,1.0741138560687433,0.0,0.0,0.0,15.045767441860466
Class 3: AI-mimicry,"TWAIN_Sketches-New-and-Old,-Part-3._T01_02.txt",Mark Twain,181,,0.859504132231405,2.364584656823915,25.333241417081155,8.285714285714286,0.36,2.5,0.15,2.0725388601036268,1.0362694300518134,0.0,1.0362694300518134,0.0,10.239577922077924
Class 3: AI-mimicry,TWAIN_The-Adventures-of-Tom-Sawyer_T02_02.txt,Mark Twain,202,,0.796875,2.6770671001962008,13.501920602439728,9.0,0.37777777777777777,1.9565217391304348,0.4782608695652174,0.0,0.9587727708533078,0.9587727708533078,0.0,0.0,13.192121212121211
Class 3: AI-mimicry,TWAIN_The-Innocents-Abroad-—-Volume-06_T05_01.txt,Mark Twain,166,,0.8818181818181818,2.435556561355123,16.656891380943858,6.833333333333333,0.4444444444444444,1.6363636363636365,0.22727272727272727,1.0235414534288638,1.0235414534288638,0.0,0.0,0.0,13.320337423312882
Class 3: AI-mimicry,TWAIN_Mark-Twain's-Letters-—-Complete_T01_01.txt,Mark Twain,175,,0.8951612903225806,2.195363084664877,25.2791074486825,8.0,0.45652173913043476,2.7058823529411766,0.35294117647058826,2.1119324181626187,1.0559662090813093,0.0,0.0,0.0,15.32691124260355
Class 3: AI-mimicry,"TWAIN_Roughing-It,-Part-3._T02_02.txt",Mark Twain,163,,0.8828828828828829,2.4695134673141803,22.156854746670934,9.166666666666666,0.5588235294117647,1.4782608695652173,0.13043478260869565,1.0570824524312896,1.0570824524312896,0.0,0.0,0.0,11.718430335097004
Class 3: AI-mimicry,TWAIN_Extract-from-Captain-Stormfield's-Visit-to-Heaven_T01_02.txt,Mark Twain,163,,0.8198198198198198,2.7597770337531333,13.730769309370865,6.571428571428571,0.5135135135135135,1.85,0.25,2.1739130434782608,1.0869565217391304,0.0,1.0869565217391304,0.0,12.185251572327044
Class 3: AI-mimicry,"TWAIN_The-Prince-and-the-Pauper,-Part-8._T01_01.txt",Mark Twain,192,,0.8188976377952756,2.327920433699287,15.77667313969244,9.2,0.4444444444444444,2.5,0.5,1.044932079414838,2.089864158829676,0.0,0.0,0.0,14.409826086956521
Class 3: AI-mimicry,TWAIN_Sketches-New-and-Old_T02_02.txt,Mark Twain,169,,0.8461538461538461,,,8.8,0.37209302325581395,2.263157894736842,0.5789473684210527,1.0256410256410255,1.0256410256410255,0.0,0.0,0.0,16.05318072289157
Class 3: AI-mimicry,"TWAIN_The-Prince-and-the-Pauper,-Part-8._T03_02.txt",Mark Twain,200,,0.8472222222222222,2.245040039114625,16.42529334860523,7.0,0.8055555555555556,1.44,0.56,0.8960573476702509,0.8960573476702509,0.0,0.0,0.0,10.844149659863948
Class 3: AI-mimicry,TWAIN_Following-the-Equator:-A-Journey-Around-the-World.-Part-4_T04_02.txt,Mark Twain,174,,0.8780487804878049,2.5628151693158676,17.29301898699114,10.0,0.4473684210526316,1.7272727272727273,0.22727272727272727,0.0,0.0,0.0,0.0,6.4239828693790155,14.051176470588235
Class 3: AI-mimicry,"TWAIN_Life-on-the-Mississippi,-Part-10._T04_02.txt",Mark Twain,188,,0.8211382113821138,2.5894858977879425,30.13827903617295,6.5,0.43902439024390244,1.5185185185185186,0.2222222222222222,0.9775171065493646,0.0,0.0,0.0,0.0,10.5751864640884
Class 3: AI-mimicry,"TWAIN_Life-on-the-Mississippi,-Part-10._T03_02.txt",Mark Twain,160,,0.7909090909090909,2.6324054010466993,13.216324102355287,8.2,0.42857142857142855,1.3461538461538463,0.2692307692307692,1.1627906976744187,1.1627906976744187,0.0,0.0,0.0,13.14561589403974
Class 3: AI-mimicry,"TWAIN_Sketches-New-and-Old,-Part-7._T02_02.txt",Mark Twain,191,,0.8778625954198473,2.3046817695417863,15.73606789208561,7.222222222222222,0.5,1.84,0.28,0.0,0.0,0.0,1.8115942028985508,0.0,11.776719022687612
Class 3: AI-mimicry,TWAIN_Following-the-Equator:-A-Journey-Around-the-World.-Part-7_T05_02.txt,Mark Twain,174,,0.8095238095238095,2.442035517796662,19.074721348695952,7.142857142857143,0.34146341463414637,1.7826086956521738,0.391304347826087,1.0050251256281406,0.0,0.0,0.0,0.0,13.636257485029944
Class 3: AI-mimicry,"TWAIN_Eve's-Diary,-Complete_T01_01.txt",Mark Twain,167,,0.8362068965517241,2.582781054629094,17.167641086322686,8.8,0.631578947368421,1.6521739130434783,0.21739130434782608,1.095290251916758,1.095290251916758,0.0,0.0,0.0,14.017604938271603
Class 3: AI-mimicry,TWAIN_The-Innocents-Abroad-—-Volume-04_T03_01.txt,Mark Twain,153,,0.8571428571428571,2.4732678968785953,12.70426672016954,7.4,0.3076923076923077,1.6956521739130435,0.08695652173913043,2.2246941045606228,0.0,0.0,0.0,8.898776418242491,14.53102702702703
Class 3: AI-mimicry,"TWAIN_Roughing-It,-Part-5._T02_02.txt",Mark Twain,189,,0.8307692307692308,2.3189679991451206,22.128139100687356,7.666666666666667,0.3541666666666667,3.0,0.625,0.0,0.9208103130755064,0.9208103130755064,0.0,0.0,13.551351766513054
Class 3: AI-mimicry,TWAIN_The-Adventures-of-Tom-Sawyer_T04_01.txt,Mark Twain,197,,0.7786885245901639,2.7652256256483083,12.091371280947225,8.0,0.4090909090909091,2.2,0.4,1.8921475875118259,0.9460737937559129,0.0,0.0,0.0,16.271872340425535
Class 3: AI-mimicry,"TWAIN_Eve's-Diary,-Complete_T04_02.txt",Mark Twain,179,,0.7767857142857143,2.597143856487574,11.535888618319849,8.6,0.45454545454545453,1.5,0.45454545454545453,1.0905125408942202,1.0905125408942202,0.0,0.0,0.0,13.893681818181822
Class 3: AI-mimicry,TWAIN_The-Innocents-Abroad-—-Volume-04_T01_02.txt,Mark Twain,197,,0.8633093525179856,2.1395736230726836,15.554575815204169,8.428571428571429,0.5,3.3333333333333335,0.4,0.0,0.0,0.9208103130755064,0.0,0.0,12.16451757666417
Class 3: AI-mimicry,TWAIN_The-Prince-and-the-Pauper_T04_01.txt,Mark Twain,159,,0.847457627118644,2.7809696614799937,18.218036328846463,6.666666666666667,0.39473684210526316,1.6521739130434783,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,11.84241935483871
Class 3: AI-mimicry,TWAIN_Mark-Twain's-Letters-—-Complete_T02_01.txt,Mark Twain,155,,0.8207547169811321,2.4309124469722363,8.362110029917652,7.4,0.34375,1.2307692307692308,0.2692307692307692,0.0,1.2195121951219512,0.0,0.0,0.0,12.989324503311263
Class 3: AI-mimicry,TWAIN_The-Tragedy-of-Pudd'nhead-Wilson_T03_02.txt,Mark Twain,193,,0.816,2.2934262688567215,11.503690224534907,8.166666666666666,0.46808510638297873,2.35,0.5,1.9286403085824493,0.0,0.0,0.0,0.0,12.783157894736846
Class 3: AI-mimicry,"TWAIN_Roughing-It,-Part-3._T04_01.txt",Mark Twain,170,,0.8571428571428571,2.7704249583067497,34.5879803109143,9.166666666666666,0.3488372093023256,1.9545454545454546,0.36363636363636365,2.157497303128371,0.0,1.0787486515641855,0.0,0.0,11.193975903614461
Class 3: AI-mimicry,"TWAIN_Sketches-New-and-Old,-Part-3._T02_01.txt",Mark Twain,175,,0.8571428571428571,2.2854468443523013,9.927487438425011,8.5,0.4358974358974359,1.5,0.19230769230769232,0.9930486593843099,0.9930486593843099,0.0,0.0,0.0,14.11325581395349
Class 3: AI-mimicry,"TWAIN_Roughing-It,-Part-5._T01_01.txt",Mark Twain,156,,0.7857142857142857,2.398319301197538,20.955110681159493,7.285714285714286,0.2727272727272727,1.434782608695652,0.30434782608695654,2.484472049689441,2.484472049689441,0.0,0.0,0.0,8.590494864612513
Class 3: AI-mimicry,TWAIN_Extract-from-Captain-Stormfield's-Visit-to-Heaven_T03_01.txt,Mark Twain,179,,0.7913043478260869,2.444423197087236,11.108216525213953,10.6,0.2608695652173913,2.4210526315789473,0.15789473684210525,1.0416666666666667,0.0,0.0,0.0,0.0,14.647428571428573
Class 3: AI-mimicry,"TWAIN_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5._T02_02.txt",Mark Twain,183,,0.8503937007874016,2.5381810765220507,10.35569347777568,8.0,0.42105263157894735,1.4615384615384615,0.34615384615384615,1.0857763300760044,1.0857763300760044,0.0,0.0,0.0,9.995000000000001
